"User Reviews & Ratings - atenolol oral","Tenormin","Originally used for HBP and panic disorder. Worked great for panic. took a long time helping with my blood pressure. I lost a lot of weight and live healthier now so I'm trying to get off of it 

Originally made my stomach upset quite a bit and I always took it with alcohol. Definitely improved my buzz. But now I don't drink but I noticed my libido dwindling. Just lack of interest even though I have many reasons to be interested such as a very attractive new girl friend. Hopefully getting off of this medication will help. 

Long story short it lowered my resting heart rate to the 50's most of the time and my blood pressure is usually in the 110-120/70 range. "
"atenolol oral","Tenormin","It caused me to gain a lot of weight and retain water. "
"atenolol oral","Tenormin","The drug works very well for the first 7 hours or so, but after that my bp is around 130/80. It didnt effect my heart rate tremendously. Only side affect is cold feet and hands. "
"atenolol oral","Tenormin","I was prescribed this medication over 20 years ago. Other than needing to be raised around year 5, it worked well alone for years. I had no adverse effects on this medication until the addition of a second medication to regain control of my still rising bp."
"atenolol oral","Tenormin","I continue to feel blowed and swollen when taken both the Hyrdro and the Atenolol so I'm searching for a medication that can reduce the swelling that the Hydro and the Atenolol provides.  Any suggestion?"
"User Reviews & Ratings - atenolol oral","Tenormin","this med sucks, it made me really nauseas, and dizzy."
"atenolol oral","Tenormin","Very easy to use and to lose, I have high blood pressure that is difficult to manage. Presently it is between 120 and 140 most of the time, running on the average 124-135."
"atenolol oral","Tenormin","I started Atenolol a little over a month ago. Taking 25mg at night. i have insomnia at night and during the day I fall asleep very easily. Heart flutters once in a while. Other than that may Bp is perfect. Was on lisinopril before this and hated it."
"atenolol oral","Tenormin","I was first placed on 50mg of Atenolol which caused me to develop a whole bunch of unpleasant symptoms. I had diahorhea, very slight chest pain at first, wrestless nights and restless leg syndrome (which I've never had in my life. I asked my physician if I could reduce my BP medication to 25mg, down from 50mg and it worked! All of my symptoms disappeared yet my blood pressure was still in check. So, if you are having any trouble with this medication, try to get 25mg tabs instead. You'll be happy you did."
"atenolol oral","Tenormin","This drug replaced my metoprolol and hydrochlorothiazide. Been on it for 3 months and feel no side effects, and has replaced taking 3 pills a day with just 1/2 of one."
"User Reviews & Ratings - atenolol oral","Tenormin","Atenolol @ 50 mg daily stopped my daily chronic migraines/aura. I was very pleased with the med until I slowly fell into depression. An unfortunate side effect for some people. I will have to stop taking this and continue searching for a med w/o debilitating side effects. "
"atenolol oral","Tenormin","fatigue,sometimes very low BP. No energy at all, sleepy and shortness of breath. Some anxiety and not feeling yourself."
"atenolol oral","Tenormin","Once I began taking Atenolol, I had several more SVT attacks.  I also could NOT breathe, my body felt so heavy, like I was carrying a piano around all day.  Finally figured out the drug was actually CAUSING more attacks, so I began weaning off.  It was hard to get off this drug, but once I did, I had NO MORE attacks.  This is a nasty drug which I will never take again!  My two doctors said it was great, NOT true!"
"atenolol oral","Tenormin","I started using Atenolol due to my blood pressure it is very effective but it restricts your heart pulse
and short breathing but it is very cheap pricing.
 "
"atenolol oral","Tenormin","My husband has been on Atenolol 50 mg ever since he had bypass surgery..which is almost 7 years.  It pretty much ended his life as he had no energy and would fall asleep all the time.  His Dr recently took him off of it and he now seems to have 'perked up a bit.  He is also on other blood pressure med so not sure why he was on Atenolol too.  His heart rate was down to just 50/bpm at his last check up and that was after being off the Atenolol for 2 weeks.  "
"User Reviews & Ratings - atenolol oral","Tenormin","It definitely reduces heart rate, but does nothing to reduce my blood pressure."
"atenolol oral","Tenormin","This stuff is horrible and horrible is a understatement....this medication has ruined my life...half my hair has fallen out...horrible depression...sexual dysfunction  (not fun for a newlywed)...I'm hoping this pharmaceutical poison hasn't caused organ damage....if I had a time machine I would go back and never touch this med....this med has destroyed my mental health so much that I couldn't enjoy my own wedding something I had very much looked forward to before I started taking this poison....my goal is to find naturopathy ways to deal with my blood pressure without destroying my body with the chemicals big pharma pushes on us.....in fact if I am ever  lucky enough to get off this crap I Boe never to take another prescription as long as I live therapeutic grade essential oils work way better...I don't want to give these drug companies another cent of my money Eff them and Eff atenolol "
"atenolol oral","Tenormin","I am 58 years old and had taken this drug for almost 2 years. About 4 months ago I developed Peyronie's disease and erectile disfunction .2 weeks ago I had an coronary angiographic procedure done with good results (minor blockage in 1 artery). I was told I could now stop taking this medication since I was on a very low dosage (12.5 mg)  My heart rate is now 68 and my bp 135/70. "
"atenolol oral","Tenormin","have a rapid (120 bpm resting) heartbeat and is  sometimes irregular. This med keeps my heart rate around 70 and smooth. No adverse side effects for me. "
"atenolol oral","Tenormin","can this medication cause my feet to hurt?"
"User Reviews & Ratings - atenolol oral","Tenormin","Have been on for 10 years to control Afib. Works well for that, but low energy and weight gain. I sometimes have shortness of breath. "
"atenolol oral","Tenormin","I continue to feel blowed and swollen when taken both the Hyrdro and the Atenolol so I'm searching for a medication that can reduce the swelling that the Hydro and the Atenolol provides.  Any suggestion?"
